date,detrended_turnover,turnover_per_share,total_turnover,total_shares
9/01/2009,-0.849089937238813,0.05397645604226803,2312273.5999999996,42838559.0597
10/01/2009,-0.7138907190535168,0.05622608940526617,2403617.4,42749147.6897
11/01/2009,-0.3856577357104436,0.06250216607781489,2671949.6999999997,42749713.6127
12/01/2009,-0.48644335279744155,0.060516017441895525,2694568.0000000005,44526525.602699995
1/01/2010,-1.2632711484919554,0.04450137829945519,2002064.7,44988824.5377
2/01/2010,-0.3954585934053595,0.06153237182884863,2769228.8,45004421.5377
3/01/2010,-1.1104248187741403,0.04669762664305949,2101601.0,45004449.9277
4/01/2010,-1.1751286653958102,0.044825047457897685,2020057.4,45065371.13869999
5/01/2010,0.7718197749795409,0.08394266750974455,3782930.0999999996,45065640.7787
6/01/2010,-0.7477397449522829,0.05326249505460375,2406399.5999999996,45180001.3787
7/01/2010,-1.1575840181834445,0.04403538047487803,1998346.4000000001,45380473.1207
8/01/2010,-0.8878746663097341,0.048938860703179626,2220777.0,45378600.320700005
9/01/2010,-1.174066395474961,0.04267814698698012,1936760.5,45380613.6567
10/01/2010,-1.1885737875972464,0.04172075329451821,1894965.9999999998,45420224.956700005
11/01/2010,-0.796218978603018,0.04895112699506847,2223371.2,45420224.956700005
12/01/2010,-1.1856864340448932,0.040674470497695785,1847443.6,45420224.956700005
1/01/2011,-1.0127344953747022,0.043579753294238924,2018067.8,46307462.696600005
2/01/2011,-0.5979505513201557,0.05135179570633921,2379936.7,46345734.696600005
3/01/2011,-0.5610765835046345,0.05165303594109643,2393897.9,46345734.696600005
4/01/2011,-1.148503774901541,0.039179141512380875,1815048.1,46326898.189600006
5/01/2011,-0.7940623627286983,0.04548373278875071,2107303.0,46330915.9296
6/01/2011,-1.046107472148488,0.039748209296744746,1841357.4,46325543.529599994
7/01/2011,-0.7761606402095376,0.04474105868122852,2074322.4,46362836.757599995
8/01/2011,0.5741254519913218,0.07167623723151177,3323154.8999999994,46363411.757599995
9/01/2011,-0.3667339727451563,0.05242974499311621,2428596.8,46320972.9576
10/01/2011,-0.3424301026708803,0.05258961152500243,2436881.7,46337701.103599995
11/01/2011,-0.1547715009342969,0.05603194241758111,2596391.3999999994,46337701.103599995
12/01/2011,-0.7515114849589017,0.04360868044537084,2020726.0,46337701.103599995
1/01/2012,-0.7485759549699464,0.043469262375610426,2070420.9,47629538.364599995
2/01/2012,-0.8748304194389964,0.04073737362615513,1940302.2999999998,47629538.364599995
3/01/2012,-0.8384260770948938,0.04081194709719763,1943854.2000000002,47629538.364599995
4/01/2012,-0.32883812476468577,0.050840405223918875,2424970.7,47697705.974599995
5/01/2012,-0.6150222181314631,0.044939054904487075,2143506.5,47698076.974599995
6/01/2012,-0.18487568935521975,0.05337299433732916,2545585.0,47694251.2146
7/01/2012,-0.6615713974210115,0.04355695440703846,2090286.7999999998,47989737.3096
8/01/2012,-0.862462703388148,0.03878783359489741,1862591.2000000002,48019985.324599996
9/01/2012,-0.7786857651802904,0.04002027106218356,1921776.2000000002,48020069.5546
10/01/2012,-0.8459920889248546,0.03822710546624326,1839107.6,48110040.7046
11/01/2012,-1.006272792917753,0.03443476994315349,1656750.5,48112721.610599995
12/01/2012,-0.9550719934072822,0.035131315772592486,1690270.0,48112914.7266
1/01/2013,-0.8979646225298309,0.03548806714521217,1781523.7999999998,50200643.29539999
2/01/2013,-0.27931463607419293,0.04733530709271778,2386230.4,50411216.2054
3/01/2013,-0.5908962141509975,0.040555515767432375,2008119.2999999998,49515318.9893
4/01/2013,-0.25921498836566603,0.04681885690204365,2456306.4000000004,52464040.400199994
5/01/2013,-0.28396402880342186,0.04628880389787986,2424644.3,52380793.967999995
6/01/2013,0.3200410268316689,0.05823358506104827,3050410.7,52382327.085
7/01/2013,-0.3331097107932026,0.04462088751479106,2346278.4,52582513.04889999
8/01/2013,-0.33062570473121783,0.044356451949669126,2332425.3,52583676.04889999
9/01/2013,-0.4411507394087886,0.041437559404818025,2178939.2,52583676.04889999
10/01/2013,-0.8915844160274291,0.03120538249271321,1649139.7,52847924.5651
11/01/2013,-0.40170651574496163,0.040347540011631315,2132330.3,52849078.2681
12/01/2013,-1.0758154269556213,0.026393529982973757,1394972.1,52852805.2481
1/01/2014,0.27963974496385996,0.05362470399265542,2872559.0,53567829.4913
