,Unnamed: 0,IPOdate,company,isin,Trading Location,ticker,first_day_return,first_month_return
34,34,2021-06-22,CRYSTAL PEAK SHARE,KYG2581M1078,Amsterdam,,,
35,35,2021-06-11,NX FILTRATION,NL0015000D50,Amsterdam,NL0015000D50.SGd ,,
36,36,2021-05-14,HEDOSOPHIA UNITS,KYG4406A1287,Amsterdam,,,
37,37,2021-04-29,PEGASUS ACQUISITION COMPANY EUROPE,NL00150009E8,Amsterdam,,,
38,38,2021-04-23,ALLFUNDS GROUP,GB00BNTJ3546,Amsterdam,ALLFG.AS,"Ticker
ALLFG.AS    0.0
Name: 2021-04-23 00:00:00, dtype: float64","Ticker
ALLFG.AS   -0.043183
dtype: float64"
39,39,2021-03-26,EFIC1 ORD SHARES,NL00150006Z9,Amsterdam,AZRN.AS ,"Ticker
AZRN.AS    0.0
Name: 2021-03-26 00:00:00, dtype: float64","Ticker
AZRN.AS   -0.004107
dtype: float64"
40,40,2021-03-25,CTP,NL00150006R6,Amsterdam,CTPNV.AS,"Ticker
CTPNV.AS    0.0
Name: 2021-03-25 00:00:00, dtype: float64","Ticker
CTPNV.AS    0.014286
dtype: float64"
41,41,2021-02-12,ESG CORE INVEST,NL00150006O3,Amsterdam,,,
42,42,2021-01-27,INPOST,LU2290522684,Amsterdam,LU2290522684.SGd ,,
43,43,2020-11-30,UNILEVER,UNILEVER,Amsterdam,UL,"Ticker
UL    0.0
Name: 2020-11-30 00:00:00, dtype: float64","Ticker
UL   -0.011464
dtype: float64"
44,44,2020-11-19,DSC2,NL00150000S7,Amsterdam,CABKA.AS ,"Ticker
CABKA.AS    0.0
Name: 2020-11-19 00:00:00, dtype: float64","Ticker
CABKA.AS    0.074219
dtype: float64"
45,45,2020-09-04,ADUX,FR0012821890,Amsterdam,ALDUX.PA,,
46,46,2020-05-29,JDE Peetds N.V.,NL0014332678,Amsterdam,JDEP.ASJDE,,
47,47,2020-01-30,RENEWI PLC,GB0007995243,Amsterdam,,,
48,48,2019-11-07,AEDIFICA,BE0003851681,Amsterdam,AED.BR,"Ticker
AED.BR    0.0
Name: 2019-11-07 00:00:00, dtype: float64","Ticker
AED.BR    0.001805
dtype: float64"
49,49,2019-09-11,PROSUS,NL0013654783,Amsterdam,PRX.AS,"Ticker
PRX.AS    0.0
Name: 2019-09-11 00:00:00, dtype: float64","Ticker
PRX.AS   -0.10837
dtype: float64"
50,50,2019-06-21,FASTNED B.V.,NL0013654809,Amsterdam,NL0013654809.SGd,,
51,51,2019-06-07,Marel hf.,IS0000000388,Amsterdam,,,
52,52,2018-09-10,RELX PLC,GB00B2B0DG97,Amsterdam,REL.Ld PLC ORD 14 ,,
53,53,2018-06-27,ENVIPCO HOLDING NV,NL0009901610,Amsterdam,ENVI.AS,,
54,54,2018-06-13,ADYEN NV,NL0012969182,Amsterdam,ADYEN.AS,"Ticker
ADYEN.AS    0.0
Name: 2018-06-13 00:00:00, dtype: float64","Ticker
ADYEN.AS    0.226374
dtype: float64"
55,55,2018-06-05,UNIBAIL-WFD UNIBAI,FR0013326246,Amsterdam,URW.PAd-,,
56,56,2018-04-11,RETAIL ESTATES,BE0003720340,Amsterdam,RET.BR,"Ticker
RET.BR    0.0
Name: 2018-04-11 00:00:00, dtype: float64","Ticker
RET.BR    0.066011
dtype: float64"
57,57,2018-03-23,BS GROUP SA,LU1789205884,Amsterdam,BSGR.AS,"Ticker
BSGR.AS    0.0
Name: 2018-03-23 00:00:00, dtype: float64","Ticker
BSGR.AS    0.017241
dtype: float64"
58,58,2018-03-23,NIBC HOLDING NV,NL0012756316,Amsterdam,,,
59,59,2018-03-22,ALFEN N.V.,NL0012817175,Amsterdam,ALFEN.AS,"Ticker
ALFEN.AS    0.0
Name: 2018-03-22 00:00:00, dtype: float64","Ticker
ALFEN.AS    0.04
dtype: float64"
60,60,2018-02-22,DUTCH STAR COMPANIES ONE NV,NL0012747059,Amsterdam,CMCOM.AS,"Ticker
CMCOM.AS    0.0
Name: 2018-02-22 00:00:00, dtype: float64","Ticker
CMCOM.AS    0.004854
dtype: float64"
61,61,2017-12-29,PPLA PARTICIPATIONS LTD,US69355L1098,Amsterdam,,,
62,62,2017-11-14,REINET INVESTMENTS SCA,LU0383812293,Amsterdam,RNT.Fd,,
63,63,2017-07-12,NEPI ROCKCASTLE PLC,IM00BDD7WV31,Amsterdam,,,
64,64,2017-05-12,KONINKLIJKE VOLKERWESSELS N.V.,NL0012294466,Amsterdam,,,
65,65,2017-04-04,VEON LTD,BMG9349W1038,Amsterdam,,,
