"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2015","24.15","22.88","25.57","22.67","","11.65%"
"06/07/2015","21.63","22.24","23.09","18.30","","1.03%"
"05/31/2015","21.41","19.39","22.10","18.44","","11.51%"
"05/24/2015","19.20","17.11","19.20","17.05","","16.08%"
"05/17/2015","16.54","18.71","19.38","16.32","","-8.52%"
"05/10/2015","18.08","19.35","21.43","17.70","","-4.79%"
"05/03/2015","18.99","22.15","24.66","18.93","","-12.81%"
"04/26/2015","21.78","20.20","23.18","10.87","","10.11%"
"04/19/2015","19.78","21.52","21.54","15.15","","-9.68%"
"04/12/2015","21.90","16.92","21.95","16.61","","35.44%"
"04/05/2015","16.17","19.72","19.84","16.12","","-17.29%"
"03/29/2015","19.55","19.18","20.79","18.05","","1.66%"
"03/22/2015","19.23","17.41","20.49","16.36","","17.40%"
"03/15/2015","16.38","18.29","20.21","16.37","","-9.70%"
"03/08/2015","18.14","18.43","19.46","17.59","","5.77%"
"03/01/2015","17.15","16.27","19.28","15.72","","5.80%"
"02/22/2015","16.21","18.23","18.42","15.94","","-15.79%"
"02/15/2015","19.25","20.68","22.07","18.77","","-3.07%"
"02/08/2015","19.86","20.73","22.29","19.04","","4.14%"
"02/01/2015","19.07","21.20","23.52","15.61","","-7.96%"
"01/25/2015","20.72","20.02","20.88","18.10","","7.80%"
"01/18/2015","19.22","22.80","23.18","17.55","","-9.38%"
"01/11/2015","21.21","22.75","35.23","11.11","","-6.93%"
"01/04/2015","22.79","23.07","26.41","19.66","","2.70%"
"12/28/2014","22.19","18.44","22.78","18.44","","23.35%"
"12/21/2014","17.99","18.28","18.52","17.19","","-3.07%"
"12/14/2014","18.56","23.02","29.63","9.21","","-19.34%"
"12/07/2014","23.01","14.29","28.11","14.25","","65.90%"
"11/30/2014","13.87","15.61","16.18","8.92","","-4.67%"
"11/23/2014","14.55","15.49","15.96","14.18","","-3.06%"
"11/16/2014","15.01","17.52","18.13","14.83","","-7.52%"
"11/09/2014","16.23","17.37","18.15","15.41","","-3.85%"
"11/02/2014","16.88","17.66","19.47","16.08","","-1.23%"
"10/26/2014","17.09","18.21","21.57","16.61","","-9.38%"
"10/19/2014","18.86","22.12","23.70","18.28","","-11.91%"
"10/12/2014","21.41","19.98","32.84","18.63","","14.86%"
"10/05/2014","18.64","15.27","18.68","14.23","","22.71%"
"09/28/2014","15.19","13.63","16.80","13.18","","13.27%"
"09/21/2014","13.41","12.04","14.43","11.78","","17.43%"
"09/14/2014","11.42","13.15","13.67","11.24","","-6.78%"
"09/07/2014","12.25","12.93","13.51","12.20","","-1.13%"
"08/31/2014","12.39","13.44","13.69","11.71","","-6.14%"
"08/24/2014","13.20","12.43","14.22","12.20","","2.56%"
"08/17/2014","12.87","14.32","14.32","12.19","","-15.50%"
"08/10/2014","15.23","17.02","17.07","12.68","","-12.47%"
"08/03/2014","17.40","16.28","18.02","14.52","","6.95%"
"07/27/2014","16.27","13.61","17.02","12.93","","19.72%"
"07/20/2014","13.59","14.17","14.68","12.31","","-2.23%"
"07/13/2014","13.90","14.88","15.50","12.88","","-5.57%"
"07/06/2014","14.72","10.98","15.95","10.98","","40.59%"
"06/29/2014","10.47","12.75","12.77","10.36","","-14.81%"
"06/22/2014","12.29","10.81","12.99","10.66","","18.29%"
"06/15/2014","10.39","12.47","12.64","10.10","","-10.59%"
"06/08/2014","11.62","11.47","12.57","10.79","","3.01%"
"06/01/2014","11.28","12.51","13.46","11.07","","-7.92%"
"05/25/2014","12.25","12.52","12.63","12.11","","-0.81%"
"05/18/2014","12.35","13.10","13.26","12.01","","-5.65%"
"05/11/2014","13.09","13.89","14.11","12.22","","-1.13%"
"05/04/2014","13.24","15.23","16.28","13.19","","-9.62%"
"04/27/2014","14.65","15.68","15.86","13.85","","-6.69%"
"04/20/2014","15.70","15.46","16.10","14.17","","7.31%"
"04/13/2014","14.63","16.68","17.69","14.55","","-7.29%"
"04/06/2014","15.78","14.28","16.48","13.47","","18.91%"
"03/30/2014","13.27","14.53","15.04","13.21","","-7.91%"
"03/23/2014","14.41","15.70","17.19","14.40","","-4.95%"
"03/16/2014","15.16","19.64","19.93","15.11","","-23.67%"
"03/09/2014","19.86","17.45","20.88","16.35","","18.21%"
"03/02/2014","16.80","17.28","19.62","15.18","","14.29%"
"02/23/2014","14.70","15.46","15.99","14.11","","0.27%"
"02/16/2014","14.66","14.70","16.49","14.41","","2.23%"
"02/09/2014","14.34","17.16","17.20","14.10","","-14.49%"
"02/02/2014","16.77","19.62","21.16","16.76","","-11.18%"
"01/26/2014","18.88","17.32","21.12","15.66","","10.34%"
"01/19/2014","17.11","13.42","17.14","12.71","","35.58%"
