EUROPEAN CODE,LEI,FUND NAME,MANAGEMENT NAME,ADDRESS,INVESTMENT POLICY,CAPITAL VARIABILITY,ISIN CODE
NL1824454,,No Such Friends of Rodeo Coöperatief U.A.,No Such Ventures B.V.,"Pretoriusstraat 11-3, 1092 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NL2610904,,No Such Friends of StrateX Coöperatief U.A.,No Such Ventures B.V.,"Pretoriusstraat 11-3, 1092 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL8685289,,No Such Friends of Trustoo Coöperatief U.A.,No Such Ventures B.V.,"Pretoriusstraat 11-3, 1092 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL7270732,,No Such Friends of Vendora Coöperatief U.A.,No Such Ventures B.V.,"Pretoriusstraat 11-3, 1092 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL8142601,,No Such Friends of Vromo Coöperatief U.A.,No Such Ventures B.V.,"Pretoriusstraat 11-3, 1092 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
NL10030465,,Oleander Participatiefonds,Van Lanschot Kempen Investment Management N.V.,,Equities,Closed,NL0012650626                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NL10052713,7245001JS77NE4RQVZ60,Parcom Fund VI C.V.,,"Stadionplein 16, 1076 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
NL9154748,724500FY8DJNS20T5A26,Parcom Fund VII Coöperatief U.A.,,"Stadionplein 16, 1076 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
NL5925964,,Parcom GoB Fund B.V.,,"Stadionplein 16, 1076 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
NL9181287,,Parcom PG Co-Invest C.V.,,"Stadionplein 16, 1076 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
NL1835739,,Parcom VI A Co-Invest C.V.,,"Stadionplein 16, 1076 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
NL2579531,,Prime IV Co-Investment Vehicle 1 B.V.,Prime Technology Investment Management B.V.,"Museumplein 5A, 1071 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL4108975,724500V3SNSC7E7VKT04,Prime V Co-Investment Vehicle 1 Coöperatief U.A.,Prime Technology Investment Management B.V.,"Museumplein 5 A, 1071 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL0930600,724500XYDUMPPR5IV011,Prime V Co-Investment Vehicle 2 Coöperatief U.A.,Prime Technology Investment Management B.V.,"Museumplein 5 A, 1071 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
NL3763439,,Prime V Co-Investment Vehicle 3 Coöperatief U.A.,Prime Technology Investment Management B.V.,"Museumplein 5 A, 1071 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NL10052252,72450073HVFECC835Z28,Prime Ventures V C.V.,Prime Technology Investment Management B.V.,"Museumplein 5-A, 1071 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL0040910,724500JFSC9MHXYIQD97,Prime Ventures VI Coöperatief U.A,Prime Technology Investment Management B.V.,"Museumplein 5 A, 1071 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL10054220,,PureTerra Ventures I Coöperatief U.A.,PureTerra Management Coöperatief U.A.,"Bregeutlaan 24, 1438 , OUDE MEER",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
NL4657653,,RBFC Investment Vehicle II B.V.,RB Family Capital Management B.V.,"Museumplein 5 A, 1071 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
