Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"European ETFS, Funds, ETVs, ETNs. Type : Funds"
"ROB AFRIKA FONDS";NL0006238131;RAFRI;"Euronext Amsterdam";EUR;101,67;101,67;101,67;101,67;"13/05/2025 11:01";CET;81;8235,27
"Rob GSEF EUR E";NL0000289783;ROBA;"Euronext Amsterdam";EUR;77,13;77,13;77,13;77,13;"13/05/2025 11:00";CET;6413;'494634,69
ROLINCO;NL0000289817;ROLA;"Euronext Amsterdam";EUR;64,17;64,17;64,17;64,17;"13/05/2025 11:00";CET;31;1989,27
"ROLINCO CUMPREF";NL0000288736;ROLPR;"Euronext Amsterdam";EUR;47,96;47,96;47,96;47,96;"'07/05/2025 11:00";CET;2;95,92
"TRI FAIR SHARE FND";NL0013087968;TFSF;"Euronext Amsterdam";EUR;37,02;37,02;37,02;37,02;"13/05/2025 10:00";CET;30;1110,60
"TRI RENEW EUROP FD";NL0013908692;TETEF;"Euronext Amsterdam";EUR;44,59;44,59;44,59;44,59;"'09/05/2025 10:00";CET;418;18638,62
"TRIODOS GROENFONDS";NL0000440204;TRIGF;"Euronext Amsterdam";EUR;56,40;56,40;56,40;56,40;"13/05/2025 10:00";CET;4307;'242914,80
"Triodos Mult Impac";NL0011327432;TMIF;"Euronext Amsterdam";EUR;27,04;27,04;27,04;27,04;"13/05/2025 10:00";CET;1;27,04
"US CONSERV HD EQ G";NL0010619748;ROBC;"Euronext Amsterdam";EUR;59,49;59,49;59,49;59,49;"13/05/2025 11:00";CET;130;7733,70
"US LARGE CAP EQ G";NL0010831046;BOBL;"Euronext Amsterdam";EUR;57,12;57,12;57,12;57,12;"12/05/2025 11:00";CET;12;685,44
"WP STEWART HOLD FD";LU0237485098;WPSH;"Euronext Amsterdam";USD;886,95;886,95;886,95;886,95;"13/05/2025 10:00";CET;6;5321,70
"WPSH EUR";LU0237484448;WPSEU;"Euronext Amsterdam";EUR;779,31;779,31;779,31;779,31;"13/05/2025 10:00";CET;1;779,31
